start_timestamp,original_round_index,original_test_id,merged_round_index,merged_test_id,step_evaluation,true_attack_type,predicted_attack_type,target_field,target_value,predicted_fail_score,absolute_error,ConstellationConfig,DegradedEdgeRatio,EdgeDisconnectRatio,EdgeBandwidthMeanDecreaseRatio,EdgeBandwidthDecreaseStd,PoissonRate,MeanIntervalTime,PacketGenerationInterval,PacketSizeMean,PacketSizeStd,StateObservationAttack_level,ActionAttack_level,StateTransferAttack_level,RewardAttack_level,ExperiencePoolAttack_level,ModelTampAttack_level,timestamp
20260516_110816,6,96,6,96,20260516_110816|round_006|test_0096,NoAttack,NoAttack,fused_score,0.00833213236182928,0.009791045992240788,0.001458913630411507,0.20366081034064779,0.00542223530701938,0.02794526498741069,0.023664586788147753,0.083239687905656,0.0361561583301312,0.001145278968483062,0.0012531417208029461,0.1890542913275652,0.07860191043769633,0.008047734867908066,0.01690960482668972,0.051547027539351684,0.03814430123353296,0.05392193593749619,0.18128602948146086,2026-05-21T08:05:18+00:00
20260516_110816,6,97,6,97,20260516_110816|round_006|test_0097,ActionAttack,ExperiencePoolAttack,fused_score,1.581464346145367e-07,-0.059153482220560216,0.05915364036699483,0.0357502839438068,0.01403662612315313,0.041333884209387606,0.17129772959625839,0.04669411249612337,0.0675986665052097,0.013304679943577766,0.013447758689715757,0.2988696455854272,0.003259148082291603,0.016272877407668744,0.13294901717423635,0.05314650132696239,0.0022602829569343557,0.03441226303682182,0.05536652292242512,2026-05-21T08:05:18+00:00
20260516_110816,7,98,7,98,20260516_110816|round_007|test_0098,NoAttack,NoAttack,fused_score,1.9121959127232913e-08,-0.047567784870282515,0.04756780399224164,0.051215026520403835,0.0782655889634142,0.00439138838678253,0.05049757653151161,0.017532096572223998,0.00412692616005966,0.029182409042853453,0.5222682634727842,0.0027374677255517328,0.0016894500757738975,0.09000348917526653,0.03926031203420237,0.027442490100444677,0.01110433532585074,0.052175361529412406,0.01810781838346412,2026-05-21T08:05:18+00:00
20260516_110816,7,99,7,99,20260516_110816|round_007|test_0099,NoAttack,NoAttack,fused_score,0.0008718115859664977,0.02354887496567387,0.022677063379707374,0.08997098885564245,0.058708878215672576,0.007885904462821926,0.03537060085541573,0.0365209221511286,0.007766760279774117,0.03304964357217769,0.29122562121357143,0.046675718418296215,0.11857544690276943,0.05770702615254305,0.040584741748064805,0.05933911401810411,0.03865101036916866,0.05822872496225084,0.019738897822598325,2026-05-21T08:05:18+00:00
20260516_110816,7,100,7,100,20260516_110816|round_007|test_0100,NoAttack,NoAttack,fused_score,0.6426578760147095,0.22661176529396176,0.4160461107207477,0.15021749849634025,0.38919475918119534,0.04599488421286755,0.10745868960377762,0.01948659843793975,0.0351508070066472,0.04885472246199105,0.003783615768599342,0.003510777776593929,0.05616446829902141,0.02211903473367252,0.05816864748668152,0.028609467364393723,0.0019727137593186133,0.00714473664870222,0.02216857876225789,2026-05-21T08:05:18+00:00
20260516_110816,7,101,7,101,20260516_110816|round_007|test_0101,ExperiencePoolAttack,ExperiencePoolAttack,fused_score,0.0001173923519672826,0.11129695707781123,0.11117956472584395,0.11091483562084097,0.0031355560099936676,0.10086283792901836,0.24494203424207517,0.024569992057642154,0.016758076715122923,0.09323802094910212,0.021811077683835736,0.10605468593426016,0.029185306909750516,0.07435309162295665,0.009018706033977253,0.01572973447525646,0.015048742906552474,0.09182556300677254,0.042551737902842786,2026-05-21T08:05:18+00:00
20260516_110816,7,102,7,102,20260516_110816|round_007|test_0102,NoAttack,NoAttack,fused_score,0.0035859665367752314,0.23617164232120963,0.2325856757844344,0.2682746285176222,0.08164551552647309,0.16882020044074916,0.050026522872502165,0.005942589871576119,0.2538501967975872,0.029885237520936792,0.009307048199778276,1.5503957387062488e-05,0.0011179584080218898,0.006639929658182537,0.05883565063447484,0.019600653180414547,0.020031644854040458,0.0044690355295221905,0.02153768403073149,2026-05-21T08:05:18+00:00
20260516_110816,7,103,7,103,20260516_110816|round_007|test_0103,NoAttack,NoAttack,fused_score,0.0016798002179712057,0.006094322245583372,0.004414522027612167,0.018336397958338402,0.05226577603808634,0.0739634972835098,0.01445425069574293,0.014703078428861613,0.10876536125632048,0.004248347345496464,0.06710852422250269,0.25563960452943973,0.024992399488858875,0.030496425863377065,0.015884786191575396,0.11076803939266827,0.026765506624066432,0.07958586204496373,0.10202214263619178,2026-05-21T08:05:18+00:00
20260516_110816,7,104,7,104,20260516_110816|round_007|test_0104,NoAttack,NoAttack,fused_score,0.001847689040005207,-0.013722877929005062,0.015570566969010269,0.08350255499461713,0.05872802192897262,0.03896303615286072,0.03733176851102455,0.12704887243825216,0.05197436934850863,0.0903356829836963,0.1958678867020228,0.06223907214894957,0.06299545441488588,0.05230566134750632,0.028370323255998305,0.035862441396039765,0.017307406915237338,0.04319707318299353,0.013970374278434292,2026-05-21T08:05:18+00:00
20260516_110816,7,105,7,105,20260516_110816|round_007|test_0105,NoAttack,NoAttack,fused_score,4.248354544728966e-18,0.011435477062136656,0.011435477062136653,0.07701702473772748,0.009202739878187805,0.09411430833572813,0.13933398809016834,0.03590549410861007,0.0021437815447561625,0.07433573246626356,0.03597945632843398,0.28494801888610205,0.020275880143551934,0.02236344639937623,0.010209753099749029,0.050903657051254055,0.02051254957028571,0.011595058819655063,0.1111591105401504,2026-05-21T08:05:18+00:00
